,ชื่อย่อหลักทรัพย์,ชื่อเต็มหลักทรัพย์จดทะเบียน,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,Factsheet
32,MK,บริษัท มั่นคงเคหะการ จำกัด (มหาชน),SET,PROPCON,PROP,
33,ML,บริษัท ไมด้า ลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
34,MNIT,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี,SET,PROPCON,PF&REIT,
35,MNIT2,กองทุนรวมอสังหาริมทรัพย์นิชดาธานี 2,SET,PROPCON,PF&REIT,
36,MNRF,กองทุนรวมอสังหาริมทรัพย์มัลติเนชั่นแนลเรสซิเดนซ์ฟันด์,SET,PROPCON,PF&REIT,
37,MODERN,บริษัท โมเดอร์นฟอร์มกรุ๊ป จำกัด (มหาชน),SET,CONSUMP,HOME,
38,MONO,บริษัท โมโน เน็กซ์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
39,MOONG,บริษัท มุ่งพัฒนา อินเตอร์แนชชั่นแนล จำกัด (มหาชน),mai,CONSUMP,-,
40,MORE,บริษัท มอร์ รีเทิร์น จำกัด (มหาชน),mai,SERVICE,-,
41,MOSHI,บริษัท โมชิ โมชิ รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,SERVICE,COMM,
42,M-PAT,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี ป่าตอง เฮอริเทจ,SET,PROPCON,PF&REIT,
43,MPIC,บริษัท เอ็ม พิคเจอร์ส เอ็นเตอร์เทนเม้นท์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
44,MSC,บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT,
45,MST,บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN,
46,M-STOR,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-สแตรทิจิกสโตเรจฟันด์,SET,PROPCON,PF&REIT,
47,MTC,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN,
48,MTI,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
49,MTW,บริษัท เมคทูวิน โฮลดิ้ง จำกัด (มหาชน),mai,INDUS,-,
50,MUD,บริษัท มัด แอนด์ ฮาวด์ จำกัด (มหาชน),mai,AGRO,-,
51,MVP,บริษัท เอ็ม วิชั่น จำกัด (มหาชน),mai,SERVICE,-,
52,NATION,บริษัท เนชั่น กรุ๊ป (ไทยแลนด์) จำกัด (มหาชน),SET,SERVICE,MEDIA,
53,NC,บริษัท นิวซิตี้ (กรุงเทพฯ) จำกัด (มหาชน),SET,CONSUMP,FASHION,
54,NCAP,บริษัท เน็คซ์ แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN,
55,NCH,บริษัท เอ็น. ซี. เฮ้าส์ซิ่ง จำกัด (มหาชน),SET,PROPCON,PROP,
56,NCL,บริษัท เอ็นซีแอล อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด (มหาชน),mai,SERVICE,-,
57,NDR,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน),mai,INDUS,-,
58,NEP,บริษัท เอ็นอีพี อสังหาริมทรัพย์ และอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,PKG,
59,NER,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),SET,AGRO,AGRI,
60,NETBAY,บริษัท เน็ตเบย์ จำกัด (มหาชน),mai,TECH,-,
61,NEW,บริษัท วัฒนาการแพทย์ จำกัด (มหาชน),SET,SERVICE,HELTH,
62,NEWS,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,-,
63,NEX,บริษัท เน็กซ์ พอยท์ จำกัด (มหาชน),SET,TECH,ETRON,
64,NFC,บริษัท เอ็นเอฟซี จำกัด (มหาชน),SET,INDUS,PETRO,
65,NINE,บริษัท เนชั่น อินเตอร์เนชั่นแนล เอ็ดดูเทนเมนท์ จำกัด (มหาชน),mai,SERVICE,-,
66,NKI,บริษัท นวกิจประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
67,NNCL,บริษัท นวนคร จำกัด (มหาชน),SET,PROPCON,PROP,
68,NOBLE,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,PROPCON,PROP,
69,NOK,บริษัท สายการบินนกแอร์ จำกัด (มหาชน),SET,SERVICE,TRANS,
70,NOVA,บริษัท โนวา เอมไพร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
71,NPK,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),mai,CONSUMP,-,
72,NRF,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),SET,AGRO,FOOD,
73,NSI,บริษัทนำสินประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
74,NSL,บริษัท เอ็นเอสแอล ฟู้ดส์ จำกัด (มหาชน),SET,AGRO,FOOD,
75,NTV,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),SET,SERVICE,HELTH,
76,NUSA,บริษัท ณุศาศิริ จำกัด (มหาชน),SET,PROPCON,PROP,
77,NV,บริษัท โนวา ออร์แกนิค จำกัด (มหาชน),SET,CONSUMP,PERSON,
78,NVD,บริษัท เนอวานา ไดอิ จำกัด (มหาชน),SET,PROPCON,PROP,
79,NWR,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),SET,PROPCON,CONS,
80,NYT,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),SET,SERVICE,TRANS,
81,OCC,บริษัท โอ ซี ซี จำกัด (มหาชน),SET,CONSUMP,PERSON,
82,OGC,บริษัท โอเชียนกลาส จำกัด (มหาชน),SET,CONSUMP,HOME,
83,OHTL,บริษัท โอเอชทีแอล จำกัด (มหาชน),SET,SERVICE,TOURISM,
84,OISHI,บริษัท โออิชิ กรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD,
85,ONEE,บริษัท เดอะ วัน เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
86,OR,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),SET,RESOURC,ENERG,
87,ORI,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP,
88,OSP,บริษัท โอสถสภา จำกัด (มหาชน),SET,AGRO,FOOD,
89,OTO,บริษัท วันทูวัน คอนแทคส์ จำกัด (มหาชน),mai,SERVICE,-,
90,PACE,บริษัท เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP,
91,PACO,บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด (มหาชน),mai,INDUS,-,
92,PAF,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
93,PAP,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),SET,INDUS,STEEL,
94,PATO,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,PETRO,
95,PB,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),SET,AGRO,FOOD,
96,PCC,บริษัท พรีไซซ คอร์ปอเรชั่น จำกัด (มหาชน),SET,RESOURC,ENERG,
97,PCSGH,บริษัท พี.ซี.เอส.แมชีน กรุ๊ปโฮลดิ้ง จำกัด (มหาชน),SET,INDUS,AUTO,
98,PDG,บริษัท พรอดดิจิ จำกัด (มหาชน),mai,INDUS,-,
99,PDJ,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),SET,CONSUMP,FASHION,
0,PEACE,บริษัท พีซแอนด์ลีฟวิ่ง จำกัด (มหาชน),SET,PROPCON,PROP,
1,PERM,บริษัท เพิ่มสินสตีลเวิคส์ จำกัด (มหาชน),SET,INDUS,STEEL,
2,PF,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),SET,PROPCON,PROP,
3,PG,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),SET,CONSUMP,FASHION,
4,PHOL,บริษัท ผลธัญญะ จำกัด (มหาชน),mai,SERVICE,-,
5,PICO,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),mai,SERVICE,-,
6,PIMO,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),mai,INDUS,-,
7,PIN,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),SET,PROPCON,PROP,
8,PJW,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),mai,INDUS,-,
9,PK,บริษัท พัฒน์กล จำกัด (มหาชน),SET,INDUS,IMM,
10,PL,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
11,PLANB,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),SET,SERVICE,MEDIA,
12,PLANET,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),mai,TECH,-,
13,PLAT,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),SET,PROPCON,PROP,
14,PLE,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),SET,PROPCON,CONS,
15,PLUS,บริษัท โรแยล พลัส จำกัด (มหาชน),SET,AGRO,FOOD,
16,PM,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),SET,AGRO,FOOD,
17,PMTA,บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน),SET,INDUS,PETRO,
18,POLAR,บริษัท โพลาริส แคปปิตัล จำกัด (มหาชน),SET,PROPCON,PROP,
19,POLY,บริษัท โพลีเน็ต จำกัด (มหาชน),SET,INDUS,AUTO,
20,POMPUI,บริษัท ผลิตภัณฑ์อาหารกว้างไพศาล จำกัด (มหาชน),SET,-,REHABCO,
21,POPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,SET,PROPCON,PF&REIT,
22,PORT,บริษัท สหไทย เทอร์มินอล จำกัด (มหาชน),SET,SERVICE,TRANS,
23,POST,บริษัท บางกอก โพสต์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
24,PPF,กองทุนรวมอสังหาริมทรัพย์ปิ่นทอง อินดัสเตรียล ปาร์ค,SET,PROPCON,PF&REIT,
25,PPM,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),mai,INDUS,-,
26,PPP,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),SET,PROPCON,CONMAT,
27,PPPM,บริษัท พีพี ไพร์ม จำกัด (มหาชน),SET,AGRO,AGRI,
28,PPS,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),mai,PROPCON,-,
29,PR9,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),SET,SERVICE,HELTH,
30,PRAKIT,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),SET,SERVICE,MEDIA,
31,PRAPAT,บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน),mai,INDUS,-,
32,PREB,บริษัท พรีบิลท์ จำกัด (มหาชน),SET,PROPCON,CONS,
33,PRECHA,บริษัท ปรีชากรุ๊ป จำกัด (มหาชน),SET,PROPCON,PROP,
34,PRG,บริษัท พี อาร์ จี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD,
35,PRI,บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน),mai,PROPCON,-,
36,PRIME,บริษัท ไพร์ม โรด เพาเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
37,PRIN,บริษัท ปริญสิริ จำกัด (มหาชน),SET,PROPCON,PROP,
38,PRINC,บริษัท พริ้นซิเพิล แคปิตอล จำกัด (มหาชน),SET,SERVICE,HELTH,
39,PRM,บริษัท พริมา มารีน จำกัด (มหาชน),SET,SERVICE,TRANS,
40,PRO,บริษัท โปรเฟสชั่นแนล เวสต์ เทคโนโลยี (1999) จำกัด (มหาชน),SET,SERVICE,PROF,
41,PROEN,บริษัท โปรเอ็น คอร์ป จำกัด (มหาชน),mai,TECH,-,
42,PROS,บริษัท พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,PROPCON,-,
43,PROSPECT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ พรอสเพค โลจิสติกส์และอินดัสเทรียล,SET,PROPCON,PF&REIT,
44,PROUD,บริษัท พราว เรียล เอสเตท จำกัด (มหาชน),mai,PROPCON,-,
45,PSG,บริษัท พีเอสจี คอร์ปอเรชั่น จำกัด (มหาชน),mai,PROPCON,-,
46,PSH,บริษัท พฤกษา โฮลดิ้ง จำกัด (มหาชน),SET,PROPCON,PROP,
47,PSL,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),SET,SERVICE,TRANS,
48,PSTC,บริษัท เพาเวอร์ โซลูชั่น เทคโนโลยี จำกัด (มหาชน),mai,RESOURC,-,
49,PT,บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน),SET,TECH,ICT,
50,PTC,บริษัท พรีเมียร์ แทงค์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,RESOURC,-,
51,PTECH,บริษัท พลัส เทค อินโนเวชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA,
52,PTG,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),SET,RESOURC,ENERG,
53,PTL,บริษัท โพลีเพล็กซ์ (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,PKG,
54,PTT,บริษัท ปตท. จำกัด (มหาชน),SET,RESOURC,ENERG,
55,PTTEP,บริษัท ปตท. สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),SET,RESOURC,ENERG,
56,PTTGC,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),SET,INDUS,PETRO,
57,PYLON,บริษัท ไพลอน จำกัด (มหาชน),SET,PROPCON,CONS,
58,Q-CON,บริษัท ควอลิตี้คอนสตรัคชั่นโปรดัคส์ จำกัด (มหาชน),SET,PROPCON,CONMAT,
59,QH,บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน),SET,PROPCON,PROP,
60,QHHR,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่า ควอลิตี้ เฮ้าส์ โฮเทล แอนด์ เรซิเดนซ์,SET,PROPCON,PF&REIT,
61,QHOP,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ฮอสพิทอลลิตี้,SET,PROPCON,PF&REIT,
62,QHPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ เฮ้าส์,SET,PROPCON,PF&REIT,
63,QLT,บริษัท ควอลลีเทค จำกัด (มหาชน),mai,SERVICE,-,
64,QTC,บริษัท คิวทีซี เอนเนอร์ยี่ จำกัด (มหาชน),SET,RESOURC,ENERG,
65,RABBIT,บริษัท แรบบิท โฮลดิ้งส์ จำกัด (มหาชน),SET,PROPCON,PROP,
66,RAM,บริษัท โรงพยาบาลรามคำแหง จำกัด (มหาชน),SET,SERVICE,HELTH,
67,RATCH,บริษัท ราช กรุ๊ป จำกัด (มหาชน),SET,RESOURC,ENERG,
68,RBF,บริษัท อาร์ แอนด์ บี ฟู้ด ซัพพลาย จำกัด (มหาชน),SET,AGRO,FOOD,
69,RCL,บริษัท อาร์ ซี แอล จำกัด (มหาชน),SET,SERVICE,TRANS,
70,RICHY,บริษัท ริชี่ เพลซ 2002 จำกัด (มหาชน),SET,PROPCON,PROP,
71,RJH,บริษัท โรงพยาบาลราชธานี จำกัด (มหาชน),SET,SERVICE,HELTH,
72,RML,บริษัท ไรมอน แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP,
73,ROCK,บริษัท ร้อกเวิธ จำกัด (มหาชน),SET,CONSUMP,HOME,
74,ROH,บริษัท โรงแรมรอยัล ออคิด (ประเทศไทย) จำกัด (มหาชน),SET,SERVICE,TOURISM,
75,ROJNA,บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),SET,PROPCON,PROP,
76,RP,บริษัท ท่าเรือราชาเฟอร์รี่ จำกัด (มหาชน),mai,SERVICE,-,
77,RPC,บริษัท อาร์พีซีจี จำกัด (มหาชน),SET,RESOURC,ENERG,
78,RPH,บริษัท โรงพยาบาลราชพฤกษ์ จำกัด (มหาชน),SET,SERVICE,HELTH,
79,RS,บริษัท อาร์เอส จำกัด (มหาชน),SET,SERVICE,COMM,
80,RSP,บริษัท ริช สปอร์ต จำกัด (มหาชน),SET,SERVICE,COMM,
81,RT,บริษัท ไร้ท์ทันเน็ลลิ่ง จำกัด (มหาชน),SET,PROPCON,CONS,
82,RWI,บริษัท ระยองไวร์ อินดัสตรีส์ จำกัด (มหาชน),mai,INDUS,-,
83,S,บริษัท สิงห์ เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP,
84,S&J,บ.เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),SET,CONSUMP,PERSON,
85,S11,บริษัท เอส 11 กรุ๊ป จำกัด (มหาชน),SET,FINCIAL,FIN,
86,SA,บริษัท ไซมิส แอสเสท จำกัด (มหาชน),SET,PROPCON,PROP,
87,SAAM,บริษัท เอสเอเอเอ็ม ดีเวลลอปเมนท์ จำกัด (มหาชน),mai,RESOURC,-,
88,SABINA,บริษัท ซาบีน่า จำกัด (มหาชน),SET,CONSUMP,FASHION,
89,SABUY,บริษัท สบาย เทคโนโลยี จำกัด (มหาชน),SET,SERVICE,COMM,
90,SAFARI,บริษัท ซาฟารีเวิลด์ จำกัด (มหาชน),SET,-,REHABCO,
91,SAK,บริษัท ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN,
92,SALEE,บริษัท สาลี่อุตสาหกรรม จำกัด (มหาชน),mai,INDUS,-,
93,SAM,บริษัท สามชัย สตีล อินดัสทรี จำกัด (มหาชน),SET,INDUS,STEEL,
94,SAMART,บริษัท สามารถคอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT,
95,SAMCO,บริษัท สัมมากร จำกัด (มหาชน),SET,PROPCON,PROP,
96,SAMTEL,บริษัท สามารถเทลคอม จำกัด (มหาชน),SET,TECH,ICT,
97,SANKO,บริษัท ซังโกะ ไดคาซติ้ง (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,-,
98,SAPPE,บริษัท เซ็ปเป้ จำกัด (มหาชน),SET,AGRO,FOOD,
99,SAT,บริษัท สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,INDUS,AUTO,
0,SAUCE,บริษัท ไทยเทพรส จำกัด (มหาชน),SET,AGRO,FOOD,
1,SAWAD,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,FINCIAL,FIN,
2,SAWANG,บริษัท สว่างเอ็กซ์ปอร์ต จำกัด (มหาชน),SET,CONSUMP,FASHION,
3,SC,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP,
4,SCAP,บริษัท ศรีสวัสดิ์ แคปปิตอล 1969 จำกัด (มหาชน),SET,FINCIAL,FIN,
5,SCB,บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน),SET,FINCIAL,BANK,
6,SCC,บริษัท ปูนซิเมนต์ไทย จำกัด(มหาชน),SET,PROPCON,CONMAT,
7,SCCC,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),SET,PROPCON,CONMAT,
8,SCG,บริษัท สหโคเจน (ชลบุรี) จำกัด (มหาชน),SET,RESOURC,ENERG,
9,SCGP,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),SET,INDUS,PKG,
10,SCI,บริษัท เอสซีไอ อีเลคตริค จำกัด (มหาชน),SET,RESOURC,ENERG,
11,SCM,บริษัท ซัคเซสมอร์ บีอิ้งค์ จำกัด (มหาชน),SET,SERVICE,COMM,
12,SCN,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),SET,RESOURC,ENERG,
13,SCP,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),SET,PROPCON,CONMAT,
14,SDC,บริษัท สามารถ ดิจิตอล จำกัด (มหาชน),SET,TECH,ICT,
15,SE,บริษัท สยามอีสต์ โซลูชั่น จำกัด (มหาชน),mai,SERVICE,-,
16,SEAFCO,บริษัท ซีฟโก้ จำกัด (มหาชน),SET,PROPCON,CONS,
17,SEAOIL,บริษัท ซีออยล์ จำกัด (มหาชน),mai,RESOURC,-,
18,SECURE,บริษัท เอ็นฟอร์ซ ซีเคียว จำกัด (มหาชน),mai,TECH,-,
19,SE-ED,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA,
20,SELIC,บริษัท ซีลิค คอร์พ จำกัด (มหาชน),mai,INDUS,-,
21,SENA,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP,
22,SENAJ,บริษัท เสนา เจ พร็อพเพอร์ตี้ จำกัด (มหาชน),mai,PROPCON,-,
23,SFLEX,บริษัท สตาร์เฟล็กซ์ จำกัด (มหาชน),SET,INDUS,PKG,
24,SFP,บริษัท อาหารสยาม จำกัด(มหาชน),SET,AGRO,FOOD,
25,SFT,บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,-,
26,SGC,บริษัท เอสจี แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN,
27,SGF,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,-,
28,SGP,บริษัท สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์ จำกัด (มหาชน),SET,RESOURC,ENERG,
29,SHANG,บริษัท แชงกรี-ลา โฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM,
30,SHR,บริษัท เอส โฮเทล แอนด์ รีสอร์ท จำกัด (มหาชน),SET,SERVICE,TOURISM,
31,SHREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์แบบต่ออายุได้เพื่อธุรกิจโรงแรมและสิทธิการเช่าสตราทีจิก ฮอสพิทอลลิตี้,SET,PROPCON,PF&REIT,
32,SIAM,บริษัท สยามสตีลอินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,HOME,
33,SICT,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),mai,TECH,-,
34,SIMAT,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),mai,TECH,-,
35,SINGER,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SET,SERVICE,COMM,
36,SIRI,บริษัท แสนสิริ จำกัด (มหาชน),SET,PROPCON,PROP,
37,SIRIP,กองทุนรวมอสังหาริมทรัพย์แสนสิริ ไพร์มออฟฟิศ,SET,PROPCON,PF&REIT,
38,SIS,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ICT,
39,SISB,บริษัท เอสไอเอสบี จำกัด (มหาชน),SET,SERVICE,PROF,
40,SITHAI,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),SET,INDUS,PKG,
41,SK,บริษัท ศิรกร จำกัด (มหาชน),mai,PROPCON,-,
42,SKE,บริษัท สากล เอนเนอยี จำกัด (มหาชน),SET,RESOURC,ENERG,
43,SKN,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,PROPCON,CONMAT,
44,SKR,บริษัท ศิครินทร์ จำกัด (มหาชน),SET,SERVICE,HELTH,
45,SKY,บริษัท สกาย ไอซีที จำกัด (มหาชน),SET,TECH,ICT,
46,SLM,บริษัท เอส แอล เอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,-,
47,SLP,บริษัท สาลี่ พริ้นท์ติ้ง จำกัด (มหาชน),SET,INDUS,PKG,
48,SM,บริษัท สตาร์ มันนี่ จำกัด (มหาชน),SET,FINCIAL,FIN,
49,SMART,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),mai,PROPCON,-,
50,SMD,บริษัท เซนต์เมด จำกัด (มหาชน),mai,CONSUMP,-,
51,SMIT,บริษัท สหมิตรเครื่องกล จำกัด (มหาชน),SET,INDUS,STEEL,
52,SMK,บริษัท สินมั่นคงประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR,
53,SMPC,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),SET,INDUS,PKG,
54,SMT,บริษัท สตาร์ส ไมโครอิเล็กทรอนิกส์ (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ETRON,
55,SNC,บริษัท เอส เอ็น ซี ฟอร์เมอร์ จำกัด (มหาชน),SET,INDUS,IMM,
